attribute_set_id;attribute_group_id;attribute_id;sort_order
webcams;General;visibility;1
webcams;General;status;2
webcams;General;tax_class_id;3
webcams;General;has_options;4
webcams;General;required_options;5
webcams;General;url_path;6
webcams;General;url_key;7
webcams;General;price_type;8
webcams;General;sku_type;9
webcams;General;options_container;10
webcams;marketing;sku;11
webcams;marketing;name;12
webcams;marketing;description;13
webcams;technical;weight;14
webcams;technical;power_requirements;15
webcams;technical;total_megapixels;16
webcams;technical;maximum_video_resolution;17
webcams;technical;maximum_frame_rate;18
webcams;marketing;release_date;19
webcams;marketing;price;20
webcams;media;picture;21
mugs;General;visibility;22
mugs;General;status;23
mugs;General;tax_class_id;24
mugs;General;has_options;25
mugs;General;required_options;26
mugs;General;url_path;27
mugs;General;url_key;28
mugs;General;price_type;29
mugs;General;sku_type;30
mugs;General;options_container;31
mugs;marketing;sku;32
mugs;marketing;name;33
mugs;marketing;description;34
mugs;marketing;price;35
mugs;media;picture;36
mugs;manufacturing;container_material;37
mugs;color;main_color;38
camcorders;General;visibility;39
camcorders;General;status;40
camcorders;General;tax_class_id;41
camcorders;General;has_options;42
camcorders;General;required_options;43
camcorders;General;url_path;44
camcorders;General;url_key;45
camcorders;General;price_type;46
camcorders;General;sku_type;47
camcorders;General;options_container;48
camcorders;marketing;sku;49
camcorders;marketing;name;50
camcorders;marketing;description;51
camcorders;technical;weight;52
camcorders;technical;power_requirements;53
camcorders;technical;sensor_type;54
camcorders;technical;total_megapixels;55
camcorders;technical;optical_zoom;56
camcorders;technical;image_stabilizer;57
camcorders;marketing;release_date;58
camcorders;marketing;price;59
camcorders;media;picture;60
tshirts;General;visibility;61
tshirts;General;status;62
tshirts;General;tax_class_id;63
tshirts;General;has_options;64
tshirts;General;required_options;65
tshirts;General;url_path;66
tshirts;General;url_key;67
tshirts;General;price_type;68
tshirts;General;sku_type;69
tshirts;General;options_container;70
tshirts;marketing;sku;71
tshirts;marketing;name;72
tshirts;marketing;description;73
tshirts;marketing;price;74
tshirts;media;picture;75
tshirts;color;main_color;76
tshirts;color;secondary_color;77
tshirts;size;clothing_size;78
tshirts;manufacturing;tshirt_materials;79
tshirts;design;tshirt_style;80
digital_cameras;General;visibility;81
digital_cameras;General;status;82
digital_cameras;General;tax_class_id;83
digital_cameras;General;has_options;84
digital_cameras;General;required_options;85
digital_cameras;General;url_path;86
digital_cameras;General;url_key;87
digital_cameras;General;price_type;88
digital_cameras;General;sku_type;89
digital_cameras;General;options_container;90
digital_cameras;marketing;sku;91
digital_cameras;marketing;name;92
digital_cameras;marketing;description;93
digital_cameras;technical;weight;94
digital_cameras;technical;power_requirements;95
digital_cameras;technical;sensor_type;96
digital_cameras;technical;total_megapixels;97
digital_cameras;technical;optical_zoom;98
digital_cameras;technical;camera_type;99
digital_cameras;marketing;release_date;100
digital_cameras;marketing;price;101
digital_cameras;media;picture;102
digital_cameras;technical;camera_brand;103
digital_cameras;technical;camera_model_name;104
digital_cameras;technical;short_description;105
digital_cameras;technical;max_image_resolution;106
digital_cameras;technical;image_resolutions;107
digital_cameras;technical;supported_aspect_ratios;108
digital_cameras;technical;supported_image_format;109
digital_cameras;technical;lens_mount_interface;110
