sku;_category;_type;_attribute_set;_product_websites;status;visibility;tax_class_id;qty;is_in_stock;_akeneo_variant_group;_super_products_sku;_super_attribute_code;_super_attribute_option;_super_attribute_price_corr;has_options;required_options;name;description;price;clothing_size;container_material;main_color;secondary_color;tshirt_materials;tshirt_style
"AKNTS_WPXS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"xs";"";"white";"purple";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"s";"";"white";"purple";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPM";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"m";"";"white";"purple";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"l";"";"white";"purple";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"xl";"";"white";"purple";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_WPXXL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"xxl";"";"white";"purple";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve";"Akeneo T-Shirt";"10.0";"xs";"";"purple";"black";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve";"Akeneo T-Shirt";"10.0";"s";"";"purple";"black";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBM";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve";"Akeneo T-Shirt";"10.0";"m";"";"purple";"black";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve";"Akeneo T-Shirt";"10.0";"l";"";"purple";"black";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve";"Akeneo T-Shirt";"10.0";"xl";"";"purple";"black";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PBXXL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt purple and white with short sleeve";"Akeneo T-Shirt";"10.0";"xxl";"";"purple";"black";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWXS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"xs";"";"purple";"white";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWS";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"s";"";"purple";"white";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWM";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"m";"";"purple";"white";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AKNTS_PWL";"Hauptkatalog/Büro/Leckereien";"simple";"tshirts";"base";"1";"1";"2";"100";"1";"";"";"";"";"";"0";"0";"Akeneo T-Shirt white and purple with short sleeve";"Akeneo T-Shirt";"10.0";"l";"";"purple";"white";"cotton";"crewneck,short_sleeve"
"";"Hauptkatalog/Kleidung/T-Shirts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
